,User_id,Sessions,Page_views,Location,Has_viewed_pricing,Has_viewed_faqs,Has_converted
0,635315,18,666,Paris,False,True,1
1,924316,6,18,London,True,True,1
2,602839,16,224,Amsterdam,True,True,0
3,582350,3,96,London,False,True,1
4,448516,16,96,London,True,True,1
5,870805,14,420,Madrid,False,False,1
6,867334,11,484,Madrid,True,True,1
7,971557,1,29,Amsterdam,True,True,1
8,590407,1,4,Amsterdam,False,True,0
9,574472,8,248,Berlin,True,True,0
10,376823,19,912,Amsterdam,True,False,1
11,928477,19,589,Paris,True,False,1
12,850185,7,308,Berlin,True,True,0
13,359168,2,42,Berlin,True,True,1
14,727833,11,209,Paris,True,True,1
15,753256,10,290,Paris,False,True,1
16,834714,6,270,Paris,False,True,1
17,784762,6,204,Paris,True,True,1
18,936859,10,380,Madrid,True,True,0
19,661181,12,24,Paris,False,True,0
20,471419,10,90,London,True,True,1
21,810401,9,225,Berlin,False,False,1
22,896314,10,160,Paris,True,True,0
23,683488,12,72,London,False,True,1
24,486029,8,96,Amsterdam,True,True,1
25,303691,8,344,London,True,False,1
26,510222,1,27,Amsterdam,True,True,0
27,555609,3,48,London,False,True,0
28,504719,13,247,Amsterdam,False,False,1
29,758832,9,369,Madrid,False,False,1
30,780083,19,703,Amsterdam,True,False,0
31,728192,2,68,Paris,True,True,0
32,757050,5,180,Berlin,True,False,1
33,211924,13,78,Amsterdam,True,False,0
34,636740,11,473,Paris,False,False,1
35,538205,2,24,London,True,True,1
36,340881,2,22,Amsterdam,True,True,0
37,900594,15,30,Madrid,False,True,0
38,759340,19,684,Madrid,True,False,1
39,667933,10,290,Amsterdam,True,True,1
40,589833,18,126,Amsterdam,False,True,0
41,837139,7,168,Paris,False,False,1
42,601792,12,528,Berlin,True,True,1
43,686978,11,352,Paris,True,False,1
44,141428,15,45,Paris,True,False,0
45,622531,3,69,Berlin,True,True,1
46,806944,12,312,London,True,True,1
47,439809,8,208,Madrid,True,False,0
48,534350,16,528,London,False,True,0
49,153823,18,450,Berlin,False,False,1
50,539596,15,45,Berlin,True,False,0
51,607062,11,517,Berlin,False,False,1
52,979609,9,351,Madrid,True,True,1
53,763284,13,637,Paris,True,True,1
54,877715,16,736,Madrid,False,False,1
55,814187,5,235,Amsterdam,True,True,1
56,479018,19,855,Berlin,False,False,1
57,583429,14,126,Paris,True,True,1
58,674314,2,80,Paris,True,False,1
59,766112,15,345,London,True,True,1
60,994722,4,12,Amsterdam,True,True,0
61,929077,15,180,Amsterdam,True,True,1
62,705170,7,189,Berlin,True,True,0
63,608608,2,64,Berlin,False,True,0
64,988195,11,88,Amsterdam,False,True,0
65,624507,12,516,Amsterdam,False,True,1
66,997217,1,8,Berlin,True,True,0
67,722831,18,540,Madrid,True,False,1
68,219520,5,240,Madrid,False,False,0
69,845019,7,77,Amsterdam,True,True,1
70,769612,2,44,Madrid,True,False,1
71,872455,14,196,Paris,False,True,1
72,624163,12,432,Paris,True,False,1
73,477192,19,798,London,True,True,1
74,999756,15,450,Berlin,False,False,0
75,144381,18,702,London,False,False,1
76,932083,1,3,London,True,False,0
77,218267,19,722,Amsterdam,True,True,1
78,534346,5,105,Berlin,False,False,1
79,501530,5,200,Amsterdam,False,True,1
80,855528,16,80,Amsterdam,True,False,0
81,438449,18,288,Amsterdam,False,True,0
82,757105,17,272,Berlin,True,True,1
83,500123,5,35,Paris,False,True,0
84,121616,18,792,Berlin,True,True,1
85,382471,14,280,Paris,False,False,0
86,178781,13,195,Paris,True,True,1
87,821415,16,672,Madrid,False,True,1
88,145124,14,126,Paris,True,True,0
89,526846,17,85,Berlin,False,False,1
90,676754,16,560,London,True,False,1
91,559907,5,65,Madrid,False,False,1
92,777492,13,234,London,True,False,1
93,974490,18,90,London,False,True,0
94,427311,17,527,Berlin,False,True,1
95,538095,13,117,Madrid,True,False,1
96,158078,15,390,Paris,False,True,1
97,594921,12,36,Paris,False,True,1
98,809832,13,455,Paris,True,False,1
99,299820,11,220,London,True,False,1
100,753053,9,252,Amsterdam,True,True,1
101,518897,11,253,Madrid,True,True,0
102,908639,16,224,Berlin,False,True,1
103,847239,4,196,Amsterdam,False,False,0
104,167892,2,8,Berlin,True,False,1
105,101103,11,187,Paris,False,True,0
106,710443,4,148,Paris,False,False,1
107,115128,13,468,Madrid,True,True,0
108,933224,10,220,Amsterdam,True,True,0
109,510207,8,320,Madrid,False,False,1
110,804805,18,558,Madrid,False,True,1
111,430243,13,286,Paris,True,False,1
112,556555,3,54,Paris,True,False,1
113,894146,16,160,Berlin,False,False,1
114,234735,15,300,Paris,False,True,1
115,169910,6,90,Madrid,False,False,1
116,862134,14,42,Madrid,False,False,1
117,202634,2,20,Berlin,False,True,1
118,970473,18,342,Madrid,True,False,1
119,725075,4,68,Berlin,False,False,0
120,134510,11,187,London,False,False,0
121,712257,15,390,Paris,False,True,0
122,981625,17,748,Madrid,False,False,0
123,639704,19,399,Berlin,True,True,1
124,140498,16,768,Madrid,False,True,1
125,461482,9,216,London,False,False,1
126,789364,16,32,London,False,True,0
127,908193,17,833,Amsterdam,True,True,0
128,754920,10,460,London,True,True,1
129,126392,1,45,Madrid,False,True,0
130,636729,14,238,Madrid,False,False,0
131,401751,1,19,Paris,True,True,0
132,657699,17,272,London,False,False,1
133,593222,15,660,Amsterdam,False,False,1
134,686233,5,75,Berlin,False,False,1
135,187679,12,336,Madrid,False,False,0
136,480398,17,765,Paris,False,True,1
137,545679,2,58,London,False,False,0
138,606857,9,180,Madrid,False,True,0
139,981469,4,132,London,False,False,0
140,518521,18,162,Madrid,True,False,0
141,126754,5,105,Madrid,True,False,0
142,437932,13,338,Berlin,True,False,0
143,611387,15,420,Madrid,True,True,1
144,955806,19,323,Madrid,True,False,1
145,827489,17,153,Madrid,False,True,1
146,317939,19,608,Berlin,False,False,0
147,568064,3,147,Amsterdam,True,True,1
148,951557,6,234,Berlin,True,False,0
149,365676,9,405,Paris,True,False,0
150,285224,16,608,Amsterdam,True,False,1
151,183089,12,312,Berlin,False,False,1
152,423460,14,280,Paris,False,True,1
153,505628,13,364,Berlin,True,False,1
154,206172,16,528,London,False,True,0
155,568242,11,528,Paris,True,True,1
156,499962,11,33,Berlin,False,True,1
157,860464,19,608,Madrid,True,True,0
158,105455,9,180,Berlin,True,False,1
159,923976,13,637,Paris,True,False,1
160,805487,19,494,London,False,False,1
161,572441,7,238,London,False,True,0
